Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Bangladesh,BGD,Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,40.90786,41.01625,41.5632,42.46602,45.04865
Belarus,BLR,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.592598833,1.989562833,1.932341667,2.037608333,2.091783333
Belarus,BLR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1.71205E+11,1.68422E+11,1.7363E+11,1.83404E+11,1.89394E+11
Belarus,BLR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,18095.70342,17785.9432,18356.06606,19430.90921,20106.06891
Belarus,BLR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-3.829663071,-2.525831409,2.53162368,3.149639499,1.446206671
Belarus,BLR,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,1652300000,1246900000,1276300000,1426500000,1273300000
Belarus,BLR,Total tax and contribution rate (% of profit),IC.TAX.TOTL.CP.ZS,51.9,52.7,52.9,53.3,53.3
Belarus,BLR,Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,68.72922,72.62337,73.57749,74.35306,74.29113
Belize,BLZ,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2,2,2,2,2
Belize,BLZ,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,3329036890,3338503209,3296810946,3411705929,3620030156
Belize,BLZ,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,9250.639508,9088.987347,8798.699057,8929.624538,9303.718003
Belize,BLZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.225493091,-0.011034415,-1.813365148,1.055598231,4.236234536
Belize,BLZ,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,59119223.9,32733410.99,31831615.5,122041647,93910241.7
Belize,BLZ,Total tax and contribution rate (% of profit),IC.TAX.TOTL.CP.ZS,31.1,31.1,31.1,31.1,31.1
Belize,BLZ,Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,55.36697,55.36968,55.27374,55.28901,55.47444
Benin,BEN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,591.211698,592.6056151,580.6567496,555.4464584,585.9508138
Benin,BEN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,30530995255,32668486802,34023063768,37174388167,40439333928
Benin,BEN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2792.609645,2901.264671,2933.837384,3113.254758,3290.307
Benin,BEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.77815106,3.339673426,5.671561952,6.697253622,6.865686628
Benin,BEN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,149755663.3,131790853.8,200902719.3,194073683.2,218207871.7
Benin,BEN,Total tax and contribution rate (% of profit),IC.TAX.TOTL.CP.ZS,48.9,48.9,48.9,48.9,48.9
Benin,BEN,Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,48.65854,49.72104,51.57576,51.71272,52.40404
Bhutan,BTN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,64.15194446,67.19531281,65.12156865,68.38946709,70.42034054
Bhutan,BTN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,7313286406,8147191502,8785418676,9311675576,10024235009
Bhutan,BTN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,9839.287269,10866.38476,11619.06451,12218.50735,13061.59027
Bhutan,BTN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.642232105,8.127033538,4.651834675,3.501871837,5.755148506
Bhutan,BTN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,6450953.85,11884162.35,-16553759.95,2649454.311,13011377.29
Bhutan,BTN,Total tax and contribution rate (% of profit),IC.TAX.TOTL.CP.ZS,35.3,35.3,35.3,35.3,35.3
Bhutan,BTN,Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,64.86482,64.99022,65.7664,65.96848,65.97305
Bolivia,BOL,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,6.91,6.91,6.91,6.91,6.91
Bolivia,BOL,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,77543289209,82736157903,94285208502,1.0063E+11,1.04706E+11
Bolivia,BOL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,6992.127581,7345.826841,8244.933446,8669.827849,8890.462954
Bolivia,BOL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.85718718,4.263920864,4.195206334,4.223623653,2.21670564
Bolivia,BOL,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,554643532.3,335365530.4,712474137.8,302368781.4,-216636843.1
Bolivia,BOL,Total tax and contribution rate (% of profit),IC.TAX.TOTL.CP.ZS,83.7,83.7,83.7,83.7,83.7
Bolivia,BOL,Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,49.75552,50.2251,50.97713,51.5617,51.65574
Bosnia and Herzegovina,BIH,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.763491647,1.768139024,1.735352713,1.656985441,1.747086461
Bosnia and Herzegovina,BIH,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,41678631830,44799426324,46723044238,50326064715,54962714928
Bosnia and Herzegovina,BIH,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,11825.99325,12869.75194,13582.1737,14801.22216,16354.49014
Bosnia and Herzegovina,BIH,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.314750611,3.242255212,3.244100959,3.827499205,2.887343344
Bosnia and Herzegovina,BIH,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,383089615.7,313198153.4,509429047.9,601783317.1,447875544.6
Bosnia and Herzegovina,BIH,Total tax and contribution rate (% of profit),IC.TAX.TOTL.CP.ZS,23.3,22.6,23.7,23.7,23.7
Bosnia and Herzegovina,BIH,Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,64.1284,64.83564,65.24652,65.37254,65.44253
Botswana,BWA,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,10.12899167,10.90115833,10.34741667,10.199975,10.75586667
Botswana,BWA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,30936562621,35937958791,35203223635,37559317790,39392411067
Botswana,BWA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,13420.5066,15277.04232,14656.77299,15321.52235,15758.84288
Botswana,BWA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-4.85133564,7.204424759,4.114363663,4.188093554,3.032202574
Botswana,BWA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,378554181.5,142522598.3,260575129.4,285955061.9,93607130.03
Botswana,BWA,Total tax and contribution rate (% of profit),IC.TAX.TOTL.CP.ZS,25.1,25.1,25.1,25.1,25.1
Botswana,BWA,Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,65.48306,65.64189,65.71078,66.17048,66.1978
Brazil,BRA,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,3.326904383,3.491313422,3.191389446,3.653825361,3.944471097
Brazil,BRA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,3.01475E+12,2.93909E+12,3.01871E+12,3.14642E+12,3.24196E+12
Brazil,BRA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,14692.63231,14208.16111,14477.86177,14971.05467,15307.94124
Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-3.545763393,-3.275916908,1.322869054,1.783666762,1.220777824
Brazil,BRA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,64738153494,74294627801,68885491315,78162724370,69174411753
Brazil,BRA,Total tax and contribution rate (% of profit),IC.TAX.TOTL.CP.ZS,65.6,65.3,65.1,65.1,65.1
Brazil,BRA,Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,55.61506,55.22357,55.6207,58.59449,59.08307
Bulgaria,BGR,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.7644,1.768041667,1.735458333,1.657041667,1.747041667
Bulgaria,BGR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1.31974E+11,1.43024E+11,1.51835E+11,1.61617E+11,1.78072E+11
Bulgaria,BGR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,18385.98036,20065.61871,21457.90199,23005.92506,25527.26356
